,Country,QII_2012,QII_2013,QII_2014,QII_2015,QII_2016,QII_2017,QII_2019,QII_2018,iso_a2,iso_a3,iso_n
0,Denmark,198.57,198.57,198.57,198.57,198.57,198.57,198.57,198.57,DK,DNK,208
1,Switzerland,195.93,195.93,195.93,195.93,195.93,195.93,195.93,195.93,CH,CHE,756
2,Finland,194.01,194.01,194.01,194.01,194.01,194.01,194.01,194.01,FI,FIN,246
3,Australia,191.13,191.13,191.13,191.13,191.13,191.13,191.13,191.13,AU,AUS,36
4,Austria,191.05,191.05,191.05,191.05,191.05,191.05,191.05,191.05,AT,AUT,40
5,Netherlands,188.91,188.91,188.91,188.91,188.91,188.91,188.91,188.91,NL,NLD,528
6,Iceland,187.79,187.79,187.79,187.79,187.79,187.79,187.79,187.79,IS,ISL,352
7,Germany,187.05,187.05,187.05,187.05,187.05,187.05,187.05,187.05,DE,DEU,276
8,New Zealand,185.58,185.58,185.58,185.58,185.58,185.58,185.58,185.58,NZ,NZL,554
9,Norway,181.86,181.86,181.86,181.86,181.86,181.86,181.86,181.86,NO,NOR,578
10,Estonia,180.88,180.88,180.88,180.88,180.88,180.88,180.88,180.88,EE,EST,233
11,Japan,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,JP,JPN,392
12,United States,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,US,USA,840
13,Sweden,178.67,178.67,178.67,178.67,178.67,178.67,178.67,178.67,SE,SWE,752
14,Slovenia,175.98,175.98,175.98,175.98,175.98,175.98,175.98,175.98,SI,SVN,705
15,Spain,174.16,174.16,174.16,174.16,174.16,174.16,174.16,174.16,ES,ESP,724
16,United Kingdom,170.81,170.81,170.81,170.81,170.81,170.81,170.81,170.81,GB,GBR,826
17,Canada,170.32,170.32,170.32,170.32,170.32,170.32,170.32,170.32,CA,CAN,124
18,Qatar,167.84,167.84,167.84,167.84,167.84,167.84,167.84,167.84,QA,QAT,634
19,United Arab Emirates,167.81,167.81,167.81,167.81,167.81,167.81,167.81,167.81,AE,ARE,784
20,Croatia,165.31,165.31,165.31,165.31,165.31,165.31,165.31,165.31,HR,HRV,191
21,Portugal,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,PT,PRT,620
22,Belgium,162.09,162.09,162.09,162.09,162.09,162.09,162.09,162.09,BE,BEL,56
23,Ireland,160.82,160.82,160.82,160.82,160.82,160.82,160.82,160.82,IE,IRL,372
24,Czech Republic,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,CZ,CZE,203
25,France,157.83,157.83,157.83,157.83,157.83,157.83,157.83,157.83,FR,FRA,250
26,Cyprus,157.57,157.57,157.57,157.57,157.57,157.57,157.57,157.57,CY,CYP,196
27,Singapore,156.91,156.91,156.91,156.91,156.91,156.91,156.91,156.91,SG,SGP,702
28,Lithuania,156.36,156.36,156.36,156.36,156.36,156.36,156.36,156.36,LT,LTU,440
29,Israel,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,IL,ISR,376
30,Slovakia,153.1,153.1,153.1,153.1,153.1,153.1,153.1,153.1,SK,SVK,703
31,Saudi Arabia,152.72,152.72,152.72,152.72,152.72,152.72,152.72,152.72,SA,SAU,682
32,South Korea,149.53,149.53,149.53,149.53,149.53,149.53,149.53,149.53,KR,KOR,410
33,Latvia,149.15,149.15,149.15,149.15,149.15,149.15,149.15,149.15,LV,LVA,428
34,Poland,147.98,147.98,147.98,147.98,147.98,147.98,147.98,147.98,PL,POL,616
35,Italy,145.69,145.69,145.69,145.69,145.69,145.69,145.69,145.69,IT,ITA,380
36,Belarus,141.47,141.47,141.47,141.47,141.47,141.47,141.47,141.47,BY,BLR,112
37,Romania,140.31,140.31,140.31,140.31,140.31,140.31,140.31,140.31,RO,ROU,642
38,Greece,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,GR,GRC,300
39,South Africa,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,ZA,ZAF,710
40,Hungary,134.47,134.47,134.47,134.47,134.47,134.47,134.47,134.47,HU,HUN,348
41,Taiwan,133.82,133.82,133.82,133.82,133.82,133.82,133.82,133.82,TW,TWN,158
42,Bulgaria,130.59,130.59,130.59,130.59,130.59,130.59,130.59,130.59,BG,BGR,100
43,Turkey,125.51,125.51,125.51,125.51,125.51,125.51,125.51,125.51,TR,TUR,792
44,Bosnia And Herzegovina,124.51,124.51,124.51,124.51,124.51,124.51,124.51,124.51,BA,BIH,70
45,Chile,124.14,124.14,124.14,124.14,124.14,124.14,124.14,124.14,CL,CHL,152
46,Mexico,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,MX,MEX,484
47,Argentina,122.49,122.49,122.49,122.49,122.49,122.49,122.49,122.49,AR,ARG,32
48,Malaysia,122.11,122.11,122.11,122.11,122.11,122.11,122.11,122.11,MY,MYS,458
49,Georgia,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,GE,GEO,268
50,Serbia,119.83,119.83,119.83,119.83,119.83,119.83,119.83,119.83,RS,SRB,688
51,India,117.51,117.51,117.51,117.51,117.51,117.51,117.51,117.51,IN,IND,356
52,Panama,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,PA,PAN,591
53,Jordan,112.94,112.94,112.94,112.94,112.94,112.94,112.94,112.94,JO,JOR,400
54,Lebanon,111.21,111.21,111.21,111.21,111.21,111.21,111.21,111.21,LB,LBN,422
55,Macedonia,110.64,110.64,110.64,110.64,110.64,110.64,110.64,110.64,MK,MKD,807
56,Colombia,108.36,108.36,108.36,108.36,108.36,108.36,108.36,108.36,CO,COL,170
57,Indonesia,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,ID,IDN,360
58,Russia,104.94,104.94,104.94,104.94,104.94,104.94,104.94,104.94,RU,RUS,643
59,Pakistan,104.63,104.63,104.63,104.63,104.63,104.63,104.63,104.63,PK,PAK,586
60,Thailand,103.26,103.26,103.26,103.26,103.26,103.26,103.26,103.26,TH,THA,764
61,Ukraine,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,UA,UKR,804
62,Hong Kong,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,HK,HKG,344
63,Brazil,100.33,100.33,100.33,100.33,100.33,100.33,100.33,100.33,BR,BRA,76
64,China,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,CN,CHN,156
65,Sri Lanka,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3,LK,LKA,144
66,Philippines,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,PH,PHL,608
67,Vietnam,88.82,88.82,88.82,88.82,88.82,88.82,88.82,88.82,VN,VNM,704
68,Kazakhstan,87.17,87.17,87.17,87.17,87.17,87.17,87.17,87.17,KZ,KAZ,398
69,Iran,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,IR,IRN,364
70,Egypt,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,EG,EGY,818
